citekey,title,authors,year,doi,decision,exclusion_code,notes
jansen_trustseco_2021,"TrustSECO: An Interview Survey into Software Trust","Jansen, Floris; Jansen, Slinger; Hou, Fang",2021,10.48550/arXiv.2101.06138,included,,
wermke_committed_2022,"Committed to Trust: A Qualitative Study on Security & Trust in Open Source Software Projects","Wermke, Dominik; Wöhler, Noah; Klemmer, Jan H.; Fourné, Marcel; Acar, Yasemin; Fahl, Sascha",2022,10.1109/SP46214.2022.9833686,included,,
wermke_always_2023,"Always Contribute Back: A Qualitative Study on Security Challenges of the Open Source Supply Chain","Wermke, Dominik; Klemmer, Jan H.; Wöhler, Noah; Schmüser, Juliane; Ramulu, Harshini Sri; Acar, Yasemin; Fahl, Sascha",2023,10.1109/SP46215.2023.10179378,included,,
pashchenko_qualitative_2020,"A Qualitative Study of Dependency Management and Its Security Implications","Pashchenko, Ivan; Vu, Duc-Ly; Massacci, Fabio",2020,10.1145/3372297.3417232,included,,
hou_role_2023,"The Role of Software Trust in Selection of Open-Source and Closed Software","Hou, Fang; Jansen, Floris; De Vries, Arthur; Jansen, Slinger",2023,10.1109/SESoS59159.2023.00010,included,,
sammak_developers_2023,"Developers' Approaches to Software Supply Chain Security: An Interview Study","Sammak, Rami; Rotthaler, Anna Lena; Ramulu, Harshini Sri; Wermke, Dominik; Acar, Yasemin",2023,10.1145/3689944.3696160,included,,
schmid_software_2026,"Software Supply Chain Smells: Lightweight Analysis for Secure Dependency Management","Schmid, Larissa; Gaspar, Diogo; Liu, Raphina; Bobadilla, Sofia; Baudry, Benoit; Monperrus, Martin",2026,10.48550/arXiv.2603.24282,included,,
ghofrani_trust_2022,"Trust challenges in reusing open source software: an interview-based initial study","Ghofrani, Javad; Heravi, Paria; Babaei, Kambiz A.; Soorati, Mohammad D.",2022,10.1145/3503229.3547061,included,,
alarcon_trust_2020,"Trust Perceptions of Metadata in Open-Source Software: The Role of Performance and Reputation","Alarcon, Gene M.; Gibson, Anthony M.; Walter, Charles; Gamble, Rose F.; Ryan, Tyler J.; Jessup, Sarah A.; Boyd, Brian E.; Capiola, August",2020,10.3390/systems8030028,excluded,E1,Experiment on metadata trust; not dependency selection criteria
imtiaz_trusting_2023,"Trusting code in the wild: A social network-based centrality rating for developers in the Rust ecosystem","Imtiaz, Nasif; Shabrina, Preya; Williams, Laurie",2023,10.48550/ARXIV.2306.00240,excluded,E1,Proposes reputation measure; does not elicit selection signals
hamer_trusting_2025,"Trusting Code in the Wild: Exploring Contributor Reputation Measures to Review Dependencies in the Rust Ecosystem","Hamer, Sivana; Imtiaz, Nasif; Tamanna, Mahzabin; Shabrina, Preya; Williams, Laurie",2025,10.1109/TSE.2025.3551664,excluded,E1,Journal extension of reputation measure work
klivan_everyone_2024,"Everyone for Themselves? A Qualitative Study about Individual Security Setups of Open Source Software Contributors","Klivan, Sabrina; Höltervennhoff, Sandra; Panskus, Rebecca; Marky, Karola; Fahl, Sascha",2024,10.1109/SP54263.2024.00214,excluded,E2,Contributor security setups; not dependency selection
dunlap_s3c2_2023,"S3C2 Summit 2023-02: Industry Secure Supply Chain Summit","Dunlap, Trevor; Acar, Yasemin; Cucker, Michel; Enck, William; Kapravelos, Alexandros; Kastner, Christian; Williams, Laurie",2023,10.48550/ARXIV.2307.16557,excluded,E3,Industry summit summary
rahman_s3c2_2026,"S3C2 Summit 2025-09: Industry Secure Supply Chain Summit","Rahman, Md Atiqur; Acar, Yasemin; Cucker, Michel; Enck, William; Kapravelos, Alexandros; Kastner, Christian; Wermke, Dominik; Williams, Laurie",2026,10.48550/ARXIV.2605.29226,excluded,E3,Industry summit summary
rahman_s3c2_2025,"S3C2 Summit 2024-09: Industry Secure Software Supply Chain Summit","Rahman, Imranur; Acar, Yasemin; Cukier, Michel; Enck, William; Kastner, Christian; Kapravelos, Alexandros; Wermke, Dominik; Williams, Laurie",2025,10.48550/ARXIV.2505.10538,excluded,E3,Industry summit summary
rotthaler_s3c2_2025,"S3C2 SICP Summit 2025-06: Vulnerability Response Summit","Rotthaler, Anna Lena; Oberthür, Simon; Somorovsky, Juraj; Thommes, Kirsten; Trang, Simon; Acar, Yasemin; Cukier, Michel; Enck, William; Kapravelos, Alexandros; Kästner, Christian; Wermke, Dominik; Williams, Laurie",2025,10.48550/ARXIV.2512.02600,excluded,E3,Industry summit summary
zahan_s3c2_2024,"S3C2 Summit 2023-11: Industry Secure Supply Chain Summit","Zahan, Nusrat; Acar, Yasemin; Cukier, Michel; Enck, William; Kästner, Christian; Kapravelos, Alexandros; Wermke, Dominik; Williams, Laurie",2024,10.48550/ARXIV.2408.16529,excluded,E3,Industry summit summary
tystahl_s3c2_2024,"S3C2 Summit 2024-03: Industry Secure Supply Chain Summit","Tystahl, Greg; Acar, Yasemin; Cukier, Michel; Enck, William; Kastner, Christian; Kapravelos, Alexandros; Wermke, Dominik; Williams, Laurie",2024,10.48550/ARXIV.2405.08762,excluded,E3,Industry summit summary
tran_s3c2_2023,"S3C2 Summit 2022-09: Industry Secure Suppy Chain Summit","Tran, Mindy; Acar, Yasemin; Cucker, Michel; Enck, William; Kapravelos, Alexandros; Kastner, Christian; Williams, Laurie",2023,10.48550/ARXIV.2307.15642,excluded,E3,Industry summit summary
